,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
47647,43293.0,-1.2155326620352,-1.65307186650488,2.50755002942907,-2.40401086992669,-0.805999641849375,-0.0662633781423729,-1.29499435660462,0.377935359473265,-2.02907544732679,0.801049194369386,0.21316976976877,-1.00500768616401,0.167990261309772,-0.630865444335408,0.055727711841694,0.739792080926121,-0.450760459360941,1.64446003996423,-0.548349563798831,0.122765460966513,0.243374597718445,0.587592930032833,-0.0233219984153796,-0.381343019699666,0.32721656082497,-0.0907823654839334,0.0337888755332741,0.0837143552403566,98.0,0
93538,64475.0,-0.587359326633521,1.01730254671881,0.387145596826903,-0.377256082114334,0.530187312251875,0.397212753668743,0.205509453114242,0.649494294380391,-0.752608675884706,-0.501381963745594,0.029679511756656,-0.0914775552659484,-0.807951590845335,0.913998672549582,0.351027595100122,0.412957878483924,-0.530581655262735,0.438222536335703,0.332126578006291,-0.22507291617593,0.157959531589195,0.306386072949303,-0.214719213787238,-1.13997689131437,-0.327478913554973,0.374508312688574,-0.0144097594550171,0.061187663097266,1.5,0
233307,147521.0,-0.874553797198279,1.74710249552452,-1.8565258041866,-0.54812944380211,-0.0048247743975545,-0.910844213617133,-0.277258926680114,1.13873875778033,-0.775763563552396,-1.14736873441232,0.639879003109389,0.635421898533721,-0.232228351409952,0.218101018222491,-0.500736861715246,1.03959333350547,0.498943630021643,1.08726522066068,-0.446257610716491,-0.514023948150278,0.495608031726884,0.931481440469022,0.100413082893159,0.713176585827943,-0.697836296144444,0.434914954758241,-0.582875555055539,-0.0811889441537722,1.5,0
235451,148395.0,-1.22871419822935,0.735062808523316,-0.297015596385423,-2.26894174250474,3.19552254042846,3.59603187069597,0.947841176647513,0.601517571355819,-0.149845567502437,-0.359482927700524,-0.168714471808983,-0.191650454308555,-0.554078101319388,-0.0229769369119221,-0.3001718888004,-0.266619472822258,-0.609655492928872,-0.958628178317451,-0.471613221006728,0.036046832973944,-0.325855941038203,-0.847555008229188,-0.295972611477079,0.706454707962014,0.72980036055321,0.29043710859739,-0.366183711956113,-0.0988555923466547,32.92,0
136748,81850.0,-1.26232901634535,-0.652188843796259,1.10980790728073,-2.02700602695291,-2.02436489473829,-0.196867191199948,-1.39283463123018,0.889584028998366,-1.77579375426776,0.233639787425909,-1.73565501501505,-0.467008540388896,1.09647907313117,-0.672203993333402,-0.924251817633221,0.134268822502805,0.564747246600338,0.29615113336847,-0.531411007167329,-0.545761803375582,-0.120151667973491,-0.13549764049318,0.114624512079357,-0.126354046901444,0.138977098155456,-0.319522564934321,-0.253194215374982,-0.309252152489036,60.0,0
125043,77517.0,1.16245594553301,-0.23435666878966,0.587568439117843,-0.0506758369936395,-0.67133563050688,-0.3438981645855,-0.375754359713905,0.0082169772610081,0.130371183131597,-0.0106746468460032,1.18998799100447,1.0028520894587,0.65823232441469,0.119052889265949,0.587167971838753,0.788092064189735,-0.837454013784883,0.426219341195238,0.199392977938336,0.083155072060365,0.139497141228234,0.333417563232974,-0.114240685154111,0.110026855964385,0.250098347767759,1.0669952036278,-0.0695603135536197,0.0055276422461768,47.85,0
142414,84703.0,-1.74740190909069,-0.388711603026603,1.46932757765412,-1.17003063620067,2.42745470292706,-0.650697328318906,0.0882453495726708,0.195078042819972,-0.420523727356179,-1.08395570869396,-1.47985963359878,0.122872413870985,0.94831341484679,-0.0922347872264803,0.198174570450625,0.893505505779481,-1.2558319572066,-0.598429239651054,-1.44348366481714,0.184660600372711,-0.162326659633127,-0.94836951816935,-0.112909953561913,-1.34465410560507,0.548760670634386,-0.0337744917349332,-0.0712491538581564,0.0608979500241352,0.89,0
284521,172522.0,2.03907096255195,-0.24579473578831,-1.24843025993493,0.21575819327472,-0.017078056805148,-0.618305442148712,-0.0627109940577239,-0.0356555411576882,0.575865907317995,0.286676698614813,0.349211022017087,0.0738364287946167,-1.72548217777585,0.805920024943304,-0.389734525476845,0.231927238746373,-0.5263206337329,-0.115968823364901,0.526368522813088,-0.321960067940109,-0.278822596697007,-0.781003722809337,0.307228719258316,-0.514610944501197,-0.349891823908396,0.214371074424994,-0.0833047482262801,-0.0786806668971138,0.89,0
202156,134196.0,-1.15358891324181,1.06547194448271,-0.038206196922826,-3.33726866346214,-0.118389058248237,-1.7201885011713,1.18693717721297,0.0296136303857264,0.846313656443056,-1.90117362074647,-0.942317810200921,0.337960317972431,-0.602982455662578,0.608044938845888,-0.0035426290082563,-0.232918276251133,-0.497112378907954,-0.479199132770985,-0.357318981463765,-0.312538377099969,-0.171561271701571,-0.572103412257078,-0.114664717236539,0.0138463855979238,0.168232657190273,-0.70704924129679,-0.0641304859330931,0.0961743873014566,46.98,0
117581,74728.0,1.11546924601348,0.0241546971251983,0.491364504199657,0.323895041143995,-0.12698289196867,0.262567862617882,-0.234366472132852,0.253483176820318,-0.132960894527793,-0.0009721842912319,1.88301000157691,1.00300685516895,-0.284771452685093,0.580635881804966,0.897058632783425,-0.0357631902010533,-0.0696539976215624,-1.00437609669421,-0.472508795103359,-0.154299637855286,-0.24528884299708,-0.735607773293231,0.250760713069854,-0.302196882210109,-0.0909504452384947,0.144369554568844,-0.0111008307515439,0.0031744700778981,10.0,0
101986,68006.0,-0.406794726263217,1.1400211455529,0.0846960772891873,-0.363841978539132,-0.156011546557914,0.695154998424097,-1.49582239406559,-3.92921984996671,0.341331544127483,0.0536784835665251,-0.772287636817183,0.186582032637775,0.0411596934016446,0.433127522560184,1.64897233931562,0.0220252809865529,0.196650291388233,-0.524182910982635,0.459794661653809,-0.779412669829984,3.68089593306272,-1.69394488358278,0.175624063634286,-0.74616509956926,0.607346338777671,1.20006037275976,0.179152601820691,0.146721247149971,5.0,0
238551,149718.0,-0.841194764583265,1.03339154982296,-0.0149743234992471,-0.681835486651581,0.344449637763712,-0.433003328918471,0.619282973401066,0.34897822943779,-0.295561005470878,-0.508880054494789,-0.0099111560145228,0.875593175825287,0.0447190267151097,0.350949770008707,-1.83143966113024,-0.18328304306213,-0.344995561386309,0.209340199785864,0.415636057418046,-0.114235671990109,0.26745377974646,0.942057717288958,-0.28878531864087,-0.24054000106284,0.018432558042003,0.667238159895242,0.094170247011256,0.130064562394715,17.9,0
120151,75726.0,-0.563484526862073,-0.0462507843005571,1.44022404604376,-0.704602798301927,-1.2091494644827,0.335127460670163,-0.855412915352488,0.589529270774502,-0.884247786294948,0.0568035905944164,-1.772090990037,-1.24691370189313,0.0693889343674344,-0.385670055758016,0.762998722456131,1.13872336873289,0.511235566476551,-0.281641853605743,1.9568809766584,0.302973119655997,0.425343748582572,1.04185752517691,-0.163878198483518,-0.567982023910124,-0.104146047671342,0.104502486492493,0.0389570938906156,0.0556587499523673,63.75,0
226202,144534.0,2.2917870119126,-1.39268654156435,-0.845904775218823,-1.56583136079292,-1.26035893889114,-0.528185855106824,-1.2161099183429,-0.149529625766095,-1.09675758757837,1.55425944510317,-1.08473027532208,-0.84479699846883,0.42507559013206,-0.506424386370243,-0.0748256700196606,-0.459676208891522,0.43275580398045,0.00540709017323,-0.158027490255149,-0.405595027977785,-0.166011998210671,0.0079693339705602,0.282183100026496,0.71088823230222,-0.230125189643934,-0.211310833532794,0.0153893557088361,-0.0393956317758131,18.6,0
48366,43611.0,1.09915436459817,-0.198508786183075,1.23489675478884,1.43237367757785,-0.946400213369134,0.257456992128531,-0.757926204296741,0.340525472453185,1.10486753365368,-0.136439129219305,-0.89929967910636,-0.443554749723457,-1.84040764971191,0.0350394123835697,0.595151868719787,-0.0850746016563369,0.121649279456754,-0.291097382293216,-0.612200256824763,-0.28074385911866,-0.0554664517910394,-0.0205485387373291,0.0479832234327257,0.0325320129998516,0.271710673896804,-0.357774090790388,0.0748507263916275,0.031528140260534,12.0,0
252335,155759.0,0.156749783284031,0.66117649481197,-0.337200745487222,-0.196996497873874,0.563336544759551,-0.926074000949031,0.906224548741564,-0.120743751345957,0.219670003227656,-1.11847678732125,-0.778016200943732,-0.56450494116577,-1.2207580519341,-1.11992172471971,-0.865565532769795,-0.121429267291737,0.950389393019985,0.14746453425969,-0.406270613195545,-0.149126289121304,0.150099090037796,0.551849325491602,-0.114362191315465,1.09601155937075,-0.0625269587429268,0.59645897464836,-0.0321461037887791,0.0185977137249025,29.61,0
183609,125876.0,1.82960549211592,-0.0446881274608255,-2.35517743528501,1.18410297399243,0.933501884707358,-0.894528585043824,1.05655024769349,-0.51570632739123,-0.276471995696037,0.300958932455358,-0.986598291210894,0.239135758750928,0.398885456713371,0.763081132491671,0.162801633271455,-0.371904229346597,-0.56776236602603,-0.300043814979904,-0.307028012847615,0.0753498854984131,0.239897599523474,0.473175723016084,-0.198829330252411,0.502836984906648,0.585546581604279,-0.449624022864897,-0.0675506813648466,-0.0365219518895933,150.0,0
282890,171219.0,-1.20635974301409,0.982662684646416,0.862640995214367,-0.800567013895989,0.909138890410041,-0.389682785610854,0.685705750343971,-0.856224181673674,-0.345543832057068,-1.45586912979706,-0.630441174517471,-0.053902089420946,0.383617235340159,-1.31598438659036,-0.0672192399312583,0.582346968316524,0.396269665269031,0.19391293794827,-0.511024887624639,-0.211177700234243,0.62191940960901,-0.606567574742523,-0.321450157897681,0.672776677603344,0.655630753852444,0.457468547996524,0.0804118959520032,0.0537428448184817,52.95,0
111707,72334.0,0.817272249522814,-1.17385963936527,0.561105509574853,0.123313731235704,-1.03934353201498,0.456616057665845,-0.558444775717429,0.253915985992327,1.1277859096313,-0.351216398313073,4.90716543398891e-05,0.474456350227817,-0.918639543000578,-0.16316274851618,-0.808405473762611,0.390983383481948,-0.343173112086201,0.289885192226367,1.00557192174439,0.32686811504335,-0.119680563836713,-0.644091292979463,-0.209267581949908,-0.439133927733036,0.105046612561197,0.957338116704994,-0.0849711184777432,0.0304248643283996,220.0,0
